Intensity,Wavelength (Å),Spectrum,Reference
50,2451.476,W II,EKM00
100,2452.0,W I,MCS75
50,2452.81,Ir I,MCS75
50,2454.72,W I,MCS75
14,2454.91,Os II,MCS75
70,2454.98,W I,MCS75
90,2455.51,W I,MCS75
250,2455.531,Ru II,JJ93
80,2455.61,Ir I,MCS75
30,2455.83,Re II,MCS75
200 P,2456.438,Ru II,JJLL94
90,2456.53,W I,MCS75
"400 P,r",2456.53,As I,HA85
500 P,2456.57,Ru II,MCS75
150,2457.5891,Fe I,NJLT94
90,2458.7838,Fe II,NLTH91
130,2459.3,W I,MCS75
3,2460.08,In I,P38
40,2460.4404,Fe II,NLTH91
50,2460.49,Hf II,MCS75
400 P,2461.03,Rh II,S58
7,2461.2,Re I,MCS75
50,2461.2835,Fe II,NLTH91
60,2461.42,Os I,MCS75
130 c,2461.84,Re II,MCS75
60,2461.861,Fe II,NLTH91
150,2462.6472,Fe I,NJLT94
1000 P,2462.764,Cm II,WHGC76
60,2462.79,W I,MCS75
50,2464.19,Hf II,MCS75
200,2464.199,Co II,PRUJ98
25 P,2464.5,Yb I,MT78
30 h,2464.77,Kr II,RCWM80
80,2465.1492,Fe I,NJLT94
40,2466.6713,Fe II,NLTH91
40,2466.8194,Fe II,NLTH91
150,2466.85,W I,MCS75
50,2467.3,Ir I,MCS75
50,2467.4003,Pt I,SRSA92
10,2467.4824,Pt I,SRSA92
30,2467.57,Re II,MCS75
2 h,2468.02,In I,P38
60,2468.8799,Fe I,NJLT94
14,2468.9,Os II,MCS75
250,2469.2517,Pd II,LLJ94
40,2469.5147,Fe II,NLTH91
50,2470.6694,Fe II,NLTH91
600,2472.2,Rb II,R75
80,2472.332,Fe I,NJLT94
60,2472.51,W I,MCS75
100,2472.8713,Fe I,NJLT94
140,2474.15,W I,MCS75
250,2474.62,Ta I,MCS75
60,2474.8145,Fe I,NJLT94
200 P,2475.12,Ir I,MCS75
250 P,2476.4127,Pd I,ELLW98
30,2476.84,Os I,MCS75
200,2477.1279,Ag II,KLLT02
150,2478.316,Sb I,SM02
400 P,2478.561,C I,J66
40,2478.5722,Fe II,NLTH91
400 P,2478.93,Ru II,MCS75
40,2478.9449,Pt II,SRSA92
120,2479.7764,Fe I,NJLT94
100,2480.13,W I,MCS75
90,2480.13,Tm II,MCS75
60,2480.1577,Fe II,NLTH91
50,2480.96,W I,MCS75
120,2481.18,Ir I,MCS75
150,2481.44,W I,MCS75
60 d,2482.1,W I,MCS75
50,2482.1172,Fe II,NLTH91
60,2482.6577,Fe II,NLTH91
1000 P,2483.2708,Fe I,NJLT94
200,2483.41,Sn I,B64
30,2483.5334,Fe I,NJLT94
20,2483.92,Re I,MCS75
300,2483.94,Po I,C66a
100,2484.1875,Fe I,NJLT94
40,2484.2446,Fe II,NLTH91
70,2484.74,W I,MCS75
200,2484.95,Ta I,MCS75
7,2485.81,Re I,MCS75
70 P,2486.24,Os II,MCS75
80,2486.3728,Fe I,NJLT94
200,2486.441,Co II,PRUJ98
400 P,2486.526,Pd II,LLJ94
60,2486.967,Sn II,B64
40,2486.9827,Pt II,SRSA92
200 P,2487.1685,Pt I,SRSA92
200 P,2487.1685,Pt I,SRSA92
20,2487.33,Re I,MCS75
50,2487.5,W I,MCS75
600 P,2488.1426,Fe I,NJLT94
250,2488.7,Ta II,MCS75
40,2488.8753,Pt II,SRSA92
700 P,2488.9146,Pd II,LLJ94
25,2489.231,W II,EKM00
50,2489.4833,Fe II,NLTH91
100,2489.7524,Fe I,NJLT94
25,2490.1265,Pt I,SRSA92
200,2490.46,Ta I,MCS75
300,2490.53,Po I,C66a
500 P,2490.6443,Fe I,NJLT94
400 P,2490.79,Rh II,S58
40,2490.8584,Fe II,NLTH91
200,2491.155,Fe I,NJLT94
60,2491.3965,Fe II,NLTH91
200 P,2492.15,Cu I,S48
20,2492.48,Kr II,DHM33
300 h,2492.85,Pa II,BW92b
40,2493.08,Ir I,MCS75
600,2493.15,Na II,W71
60,2493.1846,Fe II,NLTH91
300 P,2493.2637,Fe II,NLTH91
100 P,2494.728,Be I,KM97
70,2495.26,W I,MCS75
140,2495.724,Sn I,B64
20,2495.8126,Pt I,SRSA92
8,2496.3,Cr I,K53
20,2496.38,Rb II,R75
60,2496.5337,Fe I,NJLT94
500 P,2496.769,B I,JLKK93
200,2496.77,Tc II,BMC67
800 P,2497.722,B I,JLKK93
90,2498.41,Os I,MCS75
200,2498.42,Ru II,MCS75
60,2498.4996,Pt I,SRSA92
200,2498.57,Ru II,MCS75
40,2498.6806,Pt II,SRSA92
400 P,2498.7769,Pd II,LLJ94
200,2498.821,Co II,PRUJ98
